,datum,n,anteil_bev,viruslast,loess_vorhersage,loess_obere_schranke,loess_untere_schranke,normalisierung,typ,Jahr,Woche
181,2023-01-04,46,0.1663155535142758,180932.64,178736.22,208569.72,153170.05,ja,SARS-CoV-2,2023,1
182,2023-01-11,60,0.1873089774996326,95071.58,143923.03,168227.85,123129.66,ja,SARS-CoV-2,2023,2
183,2023-01-18,59,0.1872401643242033,84513.48,125395.56,146788.36,107120.53,ja,SARS-CoV-2,2023,3
184,2023-01-25,62,0.189389316555958,115757.0,123959.18,145061.32,105926.78,ja,SARS-CoV-2,2023,4
185,2023-02-01,62,0.1890135409037428,183584.08,140872.43,164501.03,120637.79,ja,SARS-CoV-2,2023,5
186,2023-02-08,62,0.1885038136783404,177478.98,178076.36,207197.72,153047.97,ja,SARS-CoV-2,2023,6
187,2023-02-15,62,0.1885038136783404,229107.88,230306.75,267164.22,198534.06,ja,SARS-CoV-2,2023,7
188,2023-02-22,63,0.1894877057645822,257330.07,281604.41,326391.52,242962.95,ja,SARS-CoV-2,2023,8
189,2023-03-01,61,0.1885002574418841,287984.05,309999.57,359750.47,267128.86,ja,SARS-CoV-2,2023,9
190,2023-03-08,61,0.1878424248221985,393958.29,305468.71,355547.64,262443.41,ja,SARS-CoV-2,2023,10
191,2023-03-15,54,0.1800848743246781,336471.74,271872.95,317222.4,233006.56,ja,SARS-CoV-2,2023,11
192,2023-03-22,61,0.1793398072247196,241085.95,221693.78,258567.84,190078.29,ja,SARS-CoV-2,2023,12
193,2023-03-29,65,0.1873583024992814,140547.86,175847.6,204618.8,151121.89,ja,SARS-CoV-2,2023,13
194,2023-04-05,64,0.2099760611942944,111690.37,141948.39,164749.3,122303.08,ja,SARS-CoV-2,2023,14
195,2023-04-12,66,0.2087789371701331,122855.81,119535.13,138415.8,103229.88,ja,SARS-CoV-2,2023,15
196,2023-04-19,67,0.2120918559280891,111645.42,105724.19,122388.61,91328.79,ja,SARS-CoV-2,2023,16
197,2023-04-26,65,0.2090549959521138,105058.55,95902.8,111175.16,82728.43,ja,SARS-CoV-2,2023,17
198,2023-05-03,67,0.2120918559280891,90195.58,84604.33,98264.98,72842.77,ja,SARS-CoV-2,2023,18
