,datum,n,anteil_bev,viruslast,loess_vorhersage,loess_obere_schranke,loess_untere_schranke,normalisierung,typ,Jahr,Woche
199,2023-05-10,67,0.2143017012620312,68928.87,70285.15,81755.39,60424.18,ja,SARS-CoV-2,2023,19
200,2023-05-17,56,0.1868757449204052,48885.09,55576.98,64691.07,47746.94,ja,SARS-CoV-2,2023,20
201,2023-05-24,66,0.2105269814919822,50816.4,43170.69,50324.01,37034.19,ja,SARS-CoV-2,2023,21
202,2023-05-31,71,0.2163631329945307,31427.7,33585.38,39181.39,28788.62,ja,SARS-CoV-2,2023,22
203,2023-06-07,68,0.2153069307670108,26569.65,26667.39,31111.62,22858.01,ja,SARS-CoV-2,2023,23
204,2023-06-14,72,0.2167369408625734,22210.09,22180.77,25894.9,18999.36,ja,SARS-CoV-2,2023,24
205,2023-06-21,71,0.2065014403646707,19752.89,19637.0,22931.23,16816.0,ja,SARS-CoV-2,2023,25
206,2023-06-28,70,0.2094291831520452,17460.8,18903.23,22047.58,16207.32,ja,SARS-CoV-2,2023,26
207,2023-07-05,71,0.2108098801020805,17593.43,20020.93,23333.64,17178.53,ja,SARS-CoV-2,2023,27
208,2023-07-12,70,0.2105497176970595,25900.12,22782.52,26576.21,19530.36,ja,SARS-CoV-2,2023,28
209,2023-07-19,72,0.2165680196308994,25214.85,27382.06,32013.94,23420.33,ja,SARS-CoV-2,2023,29
210,2023-07-26,73,0.2114328141880083,35352.92,33871.26,39727.0,28878.66,ja,SARS-CoV-2,2023,30
211,2023-08-02,73,0.2160440674596718,45261.5,40933.54,48147.99,34800.1,ja,SARS-CoV-2,2023,31
212,2023-08-09,73,0.2128798823644396,49329.41,47453.79,55923.37,40266.92,ja,SARS-CoV-2,2023,32
213,2023-08-16,70,0.1970270218849013,56786.28,54486.54,64242.89,46211.84,ja,SARS-CoV-2,2023,33
214,2023-08-23,74,0.2140644291656672,64937.11,63697.88,75023.14,54082.25,ja,SARS-CoV-2,2023,34
215,2023-08-30,75,0.2206576915556395,54414.88,74597.79,87626.33,63506.37,ja,SARS-CoV-2,2023,35
216,2023-09-06,74,0.2137333791139506,87874.36,85863.16,100512.22,73349.12,ja,SARS-CoV-2,2023,36
217,2023-09-13,74,0.2188069431249325,117501.16,97430.33,113782.38,83428.29,ja,SARS-CoV-2,2023,37
218,2023-09-20,75,0.2148942176721362,127155.03,110119.44,128405.61,94437.4,ja,SARS-CoV-2,2023,38
219,2023-09-27,77,0.2222152164364033,111670.91,124018.77,144382.92,106526.83,ja,SARS-CoV-2,2023,39
220,2023-10-04,78,0.2179849783386674,110923.76,137914.75,160509.97,118500.29,ja,SARS-CoV-2,2023,40
221,2023-10-11,79,0.2185968525292161,158642.28,153241.11,178709.32,131402.42,ja,SARS-CoV-2,2023,41
222,2023-10-18,79,0.219482225011497,186617.83,177079.21,206826.35,151610.49,ja,SARS-CoV-2,2023,42
223,2023-10-25,75,0.2180624924392931,223998.04,214129.42,250085.71,183342.78,ja,SARS-CoV-2,2023,43
224,2023-11-01,69,0.2141826266113529,245960.8,260186.19,304229.28,222519.19,ja,SARS-CoV-2,2023,44
225,2023-11-08,118,0.3020118281609948,298060.15,308607.23,362124.15,262999.37,ja,SARS-CoV-2,2023,45
226,2023-11-15,117,0.3002151700867881,404701.84,365546.78,430682.54,310262.05,ja,SARS-CoV-2,2023,46
227,2023-11-22,124,0.3133157287774625,410935.59,439950.88,519412.93,372645.28,ja,SARS-CoV-2,2023,47
228,2023-11-29,131,0.3213403881952153,444874.29,521490.19,617232.37,440599.09,ja,SARS-CoV-2,2023,48
229,2023-12-06,139,0.3369920842325425,517372.95,573330.34,681694.94,482191.75,ja,SARS-CoV-2,2023,49
230,2023-12-13,140,0.3369102907940477,831406.66,550883.89,655996.5,462613.84,ja,SARS-CoV-2,2023,50
231,2023-12-20,138,0.3240627820354819,526938.34,463682.15,551810.08,389628.86,ja,SARS-CoV-2,2023,51
232,2023-12-27,86,0.1910619331025691,292449.82,352096.91,418981.89,295889.24,ja,SARS-CoV-2,2023,52
