;unter 1 Jahr;1-Jährige;2-Jährige;3-Jährige;4-Jährige;5-Jährige;6-Jährige;7-Jährige;8-Jährige;9-Jährige;10-Jährige;11-Jährige;12-Jährige;13-Jährige;14-Jährige;15-Jährige;16-Jährige;17-Jährige;18-Jährige;19-Jährige;20-Jährige;21-Jährige;22-Jährige;23-Jährige;24-Jährige;25-Jährige;26-Jährige;27-Jährige;28-Jährige;29-Jährige;30-Jährige;31-Jährige;32-Jährige;33-Jährige;34-Jährige;35-Jährige;36-Jährige;37-Jährige;38-Jährige;39-Jährige;40-Jährige;41-Jährige;42-Jährige;43-Jährige;44-Jährige;45-Jährige;46-Jährige;47-Jährige;48-Jährige;49-Jährige;50-Jährige;51-Jährige;52-Jährige;53-Jährige;54-Jährige;55-Jährige;56-Jährige;57-Jährige;58-Jährige;59-Jährige;60-Jährige;61-Jährige;62-Jährige;63-Jährige;64-Jährige;65-Jährige;66-Jährige;67-Jährige;68-Jährige;69-Jährige;70-Jährige;71-Jährige;72-Jährige;73-Jährige;74-Jährige;75-Jährige;76-Jährige;77-Jährige;78-Jährige;79-Jährige;80-Jährige;81-Jährige;82-Jährige;83-Jährige;84-Jährige;85-Jährige;86-Jährige;87-Jährige;88-Jährige;89-Jährige;90-Jährige;91-Jährige;92-Jährige;93-Jährige;94-Jährige;95-Jährige;96-Jährige;97-Jährige;98-Jährige;99-Jährige;100 Jahre und mehr;Alter unbekannt;Insgesamt
männlich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;1283;78;41;40;46;30;31;39;31;24;22;24;30;35;43;46;90;105;134;188;186;187;195;226;224;215;219;221;210;288;312;319;345;387;390;418;494;586;566;640;681;726;708;811;871;880;971;1104;1475;1749;1995;2350;2650;3088;3463;4009;4488;4692;5195;5512;5871;6343;6596;7029;7336;7811;8025;8466;9213;9638;9859;10163;9693;9972;8277;10561;13008;13333;15728;18043;20769;20560;19853;19946;19792;20031;16717;14894;14448;14341;13238;11618;9622;7439;5781;4117;2797;1983;1439;995;1046;-;492797
2021;1313;89;45;46;43;44;28;28;21;29;25;23;28;41;49;70;88;109;158;189;178;198;193;192;217;201;247;239;271;254;328;337;324;343;430;451;481;568;620;643;689;726;773;894;940;986;1084;1213;1355;1797;2067;2401;2782;3060;3467;4089;4559;5009;5491;5955;6429;6883;7223;7407;7985;8333;8871;9089;9430;10169;10687;11062;11083;10699;10986;9048;11285;14210;14467;16955;19677;21971;21804;21334;20929;20506;20065;16799;14425;13870;13189;11681;10445;8197;6175;4544;3207;2151;1492;1009;1270;-;515559
2022;1260;99;58;54;57;37;42;30;38;31;30;25;31;41;45;61;88;102;160;199;166;200;225;227;209;228;237;247;242;279;267;321;394;379;473;472;520;567;615;654;726;751;868;884;942;978;1045;1181;1259;1437;1874;2146;2568;2882;3373;3876;4309;4880;5378;5784;6386;6746;7163;7627;7963;8420;8809;9319;9676;10058;10586;11346;11776;12007;11478;12020;9756;12027;14981;15479;18411;21094;23290;22984;22404;21718;21439;20823;16704;14260;13275;12369;11151;9096;7199;5242;3951;2534;1623;1043;1549;-;532333
2023;1198;108;81;57;59;47;47;44;36;37;32;21;36;43;60;72;86;134;149;185;200;163;203;211;200;221;240;231;228;242;286;280;330;390;453;441;523;590;552;671;707;768;844;890;958;951;1073;1162;1302;1421;1596;1989;2268;2691;3125;3549;3965;4515;5191;5591;6153;6621;7095;7588;8109;8226;8694;9270;9419;9756;10058;10881;11308;12148;12211;11641;11899;9810;12311;15299;15790;18574;20825;22948;22675;21487;20901;19815;18978;15068;12471;11318;10302;8687;6900;5126;3596;2567;1649;958;1355;-;514230
weiblich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;982;89;37;37;26;32;29;22;27;20;21;20;32;30;44;54;63;64;70;81;87;78;75;113;107;113;110;109;118;139;144;153;178;191;185;211;211;242;267;298;356;389;489;566;677;766;911;1052;1137;1281;1395;1624;1719;1916;1920;2100;2227;2236;2477;2655;2743;3020;3232;3541;3730;3584;3822;3163;4209;5086;5367;6392;7486;8909;9236;9651;10542;11463;12702;12095;12120;13615;16059;17840;19150;19815;20886;22141;22354;21643;21248;21119;19333;16390;7968;5666;4956;4400;4760;3586;6356;-;464180
2014;1018;88;38;33;34;14;16;19;18;26;15;23;20;35;36;38;52;48;83;78;77;69;75;115;88;92;88;99;120;123;131;148;159;178;183;185;223;209;256;291;284;389;443;502;607;694;867;957;1049;1277;1404;1596;1668;1863;1967;1964;2142;2295;2410;2748;2904;2921;3108;3372;3649;3818;3809;3849;3331;4309;5280;5543;6780;7925;9208;9861;10358;11101;11998;13358;12630;12671;14170;16076;17890;18891;19686;20278;21102;20787;19508;18961;18334;16507;13364;6350;4346;3543;3104;3208;6476;-;446131
2015;1108;84;42;48;31;27;22;20;21;16;25;29;38;24;43;59;64;66;80;76;80;80;72;101;88;98;108;121;133;142;143;179;174;188;213;217;232;214;268;287;305;328;414;499;594;657;823;964;1080;1246;1388;1543;1705;1881;2007;2162;2244;2379;2545;2676;2980;3148;3295;3506;3844;4107;4250;4361;4347;3723;4880;6103;6241;7705;8967;10627;11400;11651;12668;13844;15309;14287;14457;16046;18400;20107;21104;21343;21580;22323;21950;19976;18721;17620;15171;11946;5376;3746;2908;2377;6793;-;475688
2016;1204;83;43;41;28;36;30;12;25;25;22;27;27;35;39;47;50;61;83;81;72;61;80;83;70;92;104;117;128;124;168;149;190;176;198;200;232;239;306;255;356;365;381;434;540;662;725;918;1122;1223;1327;1477;1705;1796;1980;2227;2299;2447;2682;2750;3042;3020;3311;3509;3838;4140;4402;4556;4484;4642;4158;5200;6388;6656;8219;9613;11320;11880;12488;13504;15011;16166;14927;14896;16486;18651;20234;20736;20626;20621;20463;19734;17538;15801;14392;11846;9391;4029;2527;1993;5698;-;462595
2017;1148;90;41;32;41;33;32;24;21;18;18;25;30;41;30;44;61;42;78;70;92;79;70;79;90;82;97;112;120;145;167;159;155;176;225;220;213;241;284;300;324;317;350;421;475;626;725;790;980;1156;1209;1458;1613;1819;2035;2115;2367;2494;2601;2694;2996;3267;3298;3586;3800;4067;4391;4672;4945;4820;5173;4496;5704;7139;7328;8970;10690;12424;13201;13851;15085;16457;17814;16270;16095;18156;19740;20985;21522;20867;20862;20394;18765;16291;14259;12522;10100;7572;3214;1974;5151;-;474507
2018;1106;108;54;39;33;25;31;13;28;22;22;30;27;26;32;45;58;57;77;67;72;72;61;77;87;99;82;107;126;141;162;176;177;197;201;219;264;242;308;323;306;368;389;449;448;565;643;787;943;1093;1237;1499;1556;1744;1946;2216;2382;2545;2703;2890;3023;3245;3440;3743;4155;4189;4619;4803;5219;5442;5334;5466;4859;6270;7753;8179;10051;11728;14008;14821;15212;16463;18023;19179;17786;17305;18899;20991;22002;21894;21143;20105;19066;17202;14161;12156;10420;8020;5641;2319;4706;-;484842
2019;1098;72;49;35;38;36;27;23;21;13;19;34;20;30;39;43;44;47;62;70;66;74;87;60;73;84;78;105;119;132;159;174;191;166;192;249;250;294;285;330;322;339;383;389;433;474;586;709;818;999;1229;1366;1529;1743;1877;2134;2327;2521;2686;2867;3066;3230;3491;3673;3854;4179;4485;4817;4925;5568;5699;5649;5866;5188;6718;8350;8524;10575;12619;14973;15852;16362;17514;18880;20063;18085;17903;19021;20652;21268;20685;19303;18302;16619;14066;11631;9387;7744;5793;4045;4292;-;473635
