CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
DEUTNP,2000,10,f,47.5914528498554,1106.40854715014,1334,2643,3942,9073,0.000399328569051773,0.00210964867416189,0.0165051241834047,0.0478083839304179,0.168645720757099,0.0112973138081528,1,0,0
DEUTNP,2000,10,b,106.125594473605,3357.87440552639,3376,4606,5462,16908,0.000433867880631579,0.00316352041815984,0.0230495006293845,0.0570023271253836,0.180581677933114,0.0108138028345321,1,0,0
DEUTNP,2000,11,m,54.0841776406578,2087.91582235934,1959,1863,1467,7431,0.000431208005339202,0.00388822421748409,0.0298427898307533,0.0730000570154389,0.213466998978292,0.0097718970182566,1,0,0
DEUTNP,2000,11,f,43.4975644326635,1049.50243556734,1268,2571,3864,8796,0.000364977724402158,0.00200114273107097,0.0156885288340008,0.0465059988971262,0.165308743025223,0.0109524051864336,1,0,0
DEUTNP,2000,11,b,97.5817420733213,3137.41825792668,3227,4434,5331,16227,0.000398938482575183,0.00295582428661522,0.0220322092805165,0.0548737122175316,0.176250627070932,0.010378257546484,1,0,0
DEUTNP,2000,12,m,57.1649219366446,2178.83507806336,2106,1897,1404,7643,0.000455770486655992,0.00405753873106658,0.0320821415944698,0.0743323178520062,0.204299704543641,0.0100506807846232,1,0,0
DEUTNP,2000,12,f,46.5679807455574,1001.43201925444,1234,2574,3841,8697,0.00039074085788937,0.00190948428329224,0.0152678585024898,0.04656026494018,0.164324762411978,0.0108291345959997,1,0,0
DEUTNP,2000,12,b,103.732902682202,3180.2670973178,3340,4471,5245,16340,0.000424085960241028,0.00299619303241618,0.022803712115564,0.0553316119360812,0.173407341772095,0.0104505286442071,1,0,0
DEUTNP,2000,13,m,52.7149579535525,2208.28504204645,2009,1917,1419,7606,0.000420291346976184,0.00411238196848872,0.0306044741041262,0.0751160006970458,0.206482393694748,0.0100020251272857,1,0,0
DEUTNP,2000,13,f,45.0327725891105,1102.96722741089,1272,2535,3677,8632,0.000377859291145764,0.00210308692475749,0.0157380194612374,0.0458548063804803,0.15730855282188,0.0107481993598562,1,0,0
DEUTNP,2000,13,b,97.747730542663,3311.25226945734,3281,4452,5096,16238,0.000399617084808318,0.00311959677433626,0.0224008920512472,0.055096474242772,0.168481184684575,0.0103852927860854,1,0,0
DEUTNP,2000,14,m,51.3457382664472,2106.65426173355,1958,1815,1391,7322,0.000409374688613166,0.00392311990292907,0.0298275561452858,0.0711192181873438,0.202408040612681,0.00962856008177565,1,0,0
DEUTNP,2000,14,f,48.6149249541534,1054.38507504585,1261,2518,3711,8593,0.000407916280214177,0.00201045272232943,0.0156019202363368,0.0455472988031753,0.158763132858852,0.0106996382181701,1,0,0
DEUTNP,2000,14,b,99.9606632206006,3161.0393367794,3219,4333,5102,15915,0.000408664105140401,0.00297807817589903,0.0219775896107786,0.0536237697425721,0.168679553426354,0.0101787125686999,1,0,0
DEUTNP,2000,15,m,64.0110203721709,2182.98897962783,1997,1798,1366,7408,0.00051035377847108,0.00406527434017834,0.0304216698785167,0.0704530877690601,0.198770225360836,0.00974165160964135,1,0,0
DEUTNP,2000,15,f,43.4975644326635,1068.50243556734,1297,2515,3665,8589,0.000364977724402158,0.00203737105279925,0.0160473358814661,0.0454930327601215,0.156795171632361,0.0106946575882536,1,0,0
DEUTNP,2000,15,b,107.508584804834,3251.49141519517,3294,4313,5031,15997,0.000439521889797988,0.00306329488217677,0.0224896490145712,0.0533762563811939,0.166332189981966,0.0102311570820919,1,0,0
DEUTNP,2000,16,m,56.8226170148683,2255.17738298513,1970,1911,1345,7538,0.000453041322065237,0.00419970729726864,0.0300103603708953,0.0748808958435339,0.195714460549286,0.00991260391920579,1,0,0
DEUTNP,2000,16,f,41.4506202240676,981.549379775932,1253,2553,3715,8544,0.000347802302077351,0.00187157298540619,0.0155029389818636,0.0461804026388032,0.158934259922025,0.0106386255016927,1,0,0
DEUTNP,2000,16,b,98.2732372389359,3236.72676276106,3223,4464,5060,16082,0.000401765487158388,0.00304938480877872,0.0220048994456476,0.0552449822595988,0.167290972233899,0.0102855202971933,1,0,0
DEUTNP,2000,17,m,63.3264105286183,2034.67358947138,1965,1804,1373,7240,0.000504895449289571,0.00378907379336691,0.029934191943558,0.070688192622572,0.199788813631353,0.00952072862497346,1,0,0
DEUTNP,2000,17,f,48.6149249541534,1012.38507504585,1221,2436,3660,8378,0.000407916280214177,0.00193036906377218,0.0151070139639708,0.0440640269597041,0.156581262803395,0.010431929360157,1,0,0
