,Jahr,Woche,Tote
96,2022,1,1261
97,2022,2,971
98,2022,3,906
99,2022,4,940
100,2022,5,1153
101,2022,6,1361
102,2022,7,1571
103,2022,8,1600
104,2022,9,1631
105,2022,10,1575
106,2022,11,1730
107,2022,12,1884
108,2022,13,1765
109,2022,14,1483
110,2022,15,1325
111,2022,16,1074
112,2022,17,876
113,2022,18,763
114,2022,19,633
115,2022,20,447
116,2022,21,360
117,2022,22,289
118,2022,23,302
119,2022,24,327
120,2022,25,431
121,2022,26,516
122,2022,27,589
123,2022,28,742
124,2022,29,979
125,2022,30,1026
126,2022,31,938
127,2022,32,766
128,2022,33,727
129,2022,34,497
130,2022,35,462
131,2022,36,351
132,2022,37,388
133,2022,38,398
134,2022,39,568
135,2022,40,937
136,2022,41,1275
137,2022,42,1349
138,2022,43,1238
139,2022,44,1005
140,2022,45,818
141,2022,46,677
142,2022,47,649
143,2022,48,720
144,2022,49,875
145,2022,50,974
146,2022,51,1218
147,2022,52,1172
