	Woche	Tote	xd	xd_smooth
0	10	2	-3110	-2881
1	11	18	-1686	-1913
2	12	162	-470	-616
3	13	600	394	838
4	14	1377	1951	1769
5	15	1750	2660	2054
6	16	1596	1587	1840
7	17	1174	782	1111
8	18	795	596	329
9	19	517	-13	86
10	20	352	-363	-182
11	21	274	107	-285
12	22	150	-515	-39
13	23	117	264	170
14	24	72	512	130
15	25	53	-36	70
16	26	58	-408	-190
17	27	45	-385	-251
18	28	29	-221	-556
19	29	26	-513	-954
20	30	32	-1932	-1387
21	31	32	-1099	-636
22	32	29	-56	433
23	33	32	2934	1054
24	34	41	715	1069
25	35	39	-556	606
26	36	20	627	52
27	37	33	361	340
28	38	54	716	689
29	39	68	272	376
30	40	83	579	98
31	41	123	-459	108
32	42	242	113	403
33	43	412	1314	610
34	44	798	999	1067
35	45	1269	820	1154
36	46	1675	1496	1230
37	47	2146	1574	1686
38	48	2947	2454	2577
39	49	3480	3372	3418
40	50	4381	4943	4624
41	51	5314	5209	5671
42	52	5925	6778	6465
43	53	5895	6765	6845
