	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
0-9	2991	2938	3119	3470	3271	3289	3242	3035	3059	3135	3083
10-19	1287	1246	1312	1320	1206	1267	1188	1070	1203	1259	1288
20-29	3489	3382	3600	3379	3251	3259	3095	3045	3040	3165	2997
30-39	6055	5963	6401	6407	6465	6470	6534	6668	6812	7060	6815
40-49	21361	19884	19492	18644	17066	16607	15575	15507	16095	15591	15508
50-59	58220	57288	59153	59025	57955	59106	56967	57331	59350	56820	53168
60-69	100274	97742	104414	108261	110421	115244	114470	118460	126781	129164	127563
70-79	227293	221807	227798	217233	214820	212737	202955	201957	204839	206781	201749
80+	472855	458106	499911	493160	517808	536895	535494	578499	602508	643366	616035
